"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Aug-2024","EQ","111.71","114.05","111.71","111.41","113.93","113.38","113.25","154.80","78.45","5,24,154","5,93,62,820.89","7,061"
"16-Aug-2024","EQ","111.00","112.30","109.01","108.23","111.10","111.41","111.06","154.80","77.30","5,34,049","5,93,12,856.50","8,078"
"14-Aug-2024","EQ","115.00","115.79","107.50","113.74","109.00","108.23","109.65","154.80","77.30","10,56,949","11,58,91,674.05","10,950"
"13-Aug-2024","EQ","114.10","115.84","113.50","115.82","113.70","113.74","114.31","154.80","77.30","4,38,730","5,01,50,414.37","4,965"
"12-Aug-2024","EQ","115.11","117.90","114.74","116.32","115.51","115.82","116.20","154.80","77.30","4,56,970","5,30,99,737.51","7,025"
"09-Aug-2024","EQ","118.55","118.90","115.84","117.51","116.60","116.32","117.01","154.80","77.30","3,89,492","4,55,74,510.01","5,219"
"08-Aug-2024","EQ","116.00","119.50","115.42","116.00","118.50","117.51","117.54","154.80","77.30","5,10,996","6,00,60,061.22","7,512"
"07-Aug-2024","EQ","118.80","118.80","115.30","115.22","116.25","116.00","116.44","154.80","77.30","5,40,917","6,29,84,117.31","8,133"
"06-Aug-2024","EQ","116.80","120.90","114.30","116.42","114.83","115.22","117.59","154.80","77.30","5,66,848","6,66,53,750.26","8,632"
"05-Aug-2024","EQ","117.50","121.77","116.00","124.83","116.08","116.42","118.44","154.80","77.30","11,79,159","13,96,54,077.00","15,810"
"02-Aug-2024","EQ","120.20","129.40","118.55","120.93","125.05","124.83","125.87","154.80","77.30","34,94,495","43,98,66,073.60","34,929"
"01-Aug-2024","EQ","123.30","124.49","120.01","123.26","121.00","120.93","122.09","154.80","77.30","7,46,765","9,11,75,232.10","8,953"
"31-Jul-2024","EQ","124.28","126.77","122.16","124.28","123.08","123.26","124.60","154.80","77.30","7,52,221","9,37,23,909.59","8,704"
"30-Jul-2024","EQ","128.90","128.90","123.49","127.82","124.15","124.28","126.18","154.80","77.30","10,13,230","12,78,44,548.03","8,839"
"29-Jul-2024","EQ","128.60","130.79","124.90","127.59","128.00","127.82","128.67","154.80","77.30","32,94,707","42,39,42,780.72","26,435"
"26-Jul-2024","EQ","120.60","129.00","119.50","120.54","127.35","127.59","126.99","154.80","77.30","38,63,125","49,05,75,125.29","35,628"
"25-Jul-2024","EQ","122.50","123.90","119.83","124.90","120.77","120.54","121.37","154.80","77.30","12,01,921","14,58,83,044.19","14,394"
"24-Jul-2024","EQ","127.99","129.90","122.90","121.27","123.98","124.90","126.54","154.80","77.30","57,17,566","72,34,84,142.69","44,337"
"23-Jul-2024","EQ","110.00","124.50","108.00","109.64","123.95","121.27","117.56","154.80","77.30","52,69,144","61,94,43,903.49","47,398"
"22-Jul-2024","EQ","109.90","111.16","108.20","109.90","109.58","109.64","109.96","154.80","77.30","3,77,322","4,14,90,063.10","6,023"
"19-Jul-2024","EQ","113.25","116.62","109.00","113.28","109.27","109.90","112.54","154.80","77.30","8,22,677","9,25,86,051.90","9,684"
"18-Jul-2024","EQ","115.94","116.20","113.00","116.17","113.58","113.28","114.37","154.80","77.30","4,50,084","5,14,77,837.70","5,562"
"16-Jul-2024","EQ","117.10","117.47","115.75","117.24","115.87","116.17","116.39","154.80","77.30","3,63,210","4,22,74,049.11","4,393"
"15-Jul-2024","EQ","119.20","120.38","116.50","118.47","117.70","117.24","118.61","154.80","77.30","7,94,972","9,42,90,029.80","11,107"
