"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Oct-2024","EQ","110.00","115.70","108.72","109.48","113.20","113.58","111.45","176.50","81.00","1,96,353","2,18,84,408.46","3,437"
"23-Oct-2024","EQ","110.00","112.92","107.12","109.58","109.90","109.48","110.02","176.50","81.00","2,18,069","2,39,92,480.44","4,308"
"22-Oct-2024","EQ","111.85","112.90","109.00","112.97","111.00","109.58","110.44","176.50","81.00","2,02,103","2,23,20,332.84","4,130"
"21-Oct-2024","EQ","115.50","118.80","112.15","115.47","112.21","112.97","114.64","176.50","81.00","1,14,796","1,31,60,057.70","2,388"
"18-Oct-2024","EQ","116.89","117.20","114.24","116.89","115.70","115.47","115.62","176.50","81.00","1,22,507","1,41,63,683.99","2,182"
"17-Oct-2024","EQ","116.10","119.40","114.00","115.82","116.80","116.89","117.10","176.50","81.00","1,74,709","2,04,58,222.80","3,098"
"16-Oct-2024","EQ","116.00","117.19","113.90","116.06","115.70","115.82","115.68","176.50","81.00","73,328","84,82,671.90","1,856"
"15-Oct-2024","EQ","117.00","117.50","115.00","116.57","116.03","116.06","116.04","176.50","81.00","77,957","90,46,233.09","1,734"
"14-Oct-2024","EQ","115.73","117.50","115.60","115.54","117.20","116.57","116.56","176.50","81.00","89,857","1,04,73,690.52","1,677"
"11-Oct-2024","EQ","118.20","118.20","114.99","117.63","115.85","115.54","116.33","176.50","81.00","1,50,310","1,74,85,622.09","2,610"
"10-Oct-2024","EQ","119.80","119.99","117.01","119.09","117.89","117.63","118.51","176.50","81.00","1,34,585","1,59,49,593.87","2,434"
"09-Oct-2024","EQ","114.00","122.40","113.95","113.51","119.49","119.09","118.60","176.50","81.00","3,56,996","4,23,39,813.19","5,861"
"08-Oct-2024","EQ","109.45","114.52","109.45","108.64","114.17","113.51","112.77","176.50","81.00","1,95,698","2,20,68,330.24","3,413"
"07-Oct-2024","EQ","116.00","116.75","108.00","115.88","108.31","108.64","110.77","176.50","81.00","4,29,226","4,75,45,241.29","6,747"
"04-Oct-2024","EQ","116.50","118.20","115.41","117.11","116.20","115.88","116.80","176.50","81.00","1,38,290","1,61,52,366.38","2,534"
"03-Oct-2024","EQ","117.99","118.30","117.00","118.83","117.21","117.11","117.46","176.50","81.00","1,48,437","1,74,35,641.50","2,653"
"01-Oct-2024","EQ","119.00","119.69","118.50","118.85","118.84","118.83","119.08","176.50","81.00","1,46,666","1,74,65,213.88","1,892"
"30-Sep-2024","EQ","118.75","120.00","117.81","118.75","118.99","118.85","118.72","176.50","81.00","1,38,741","1,64,71,207.65","2,959"
"27-Sep-2024","EQ","120.00","121.49","118.21","119.40","118.98","118.75","119.54","176.50","81.00","1,54,673","1,84,89,687.05","3,319"
"26-Sep-2024","EQ","120.32","121.00","118.77","120.32","119.33","119.40","119.61","176.50","81.00","1,72,648","2,06,50,234.54","4,066"
"25-Sep-2024","EQ","122.24","122.90","120.00","122.14","120.00","120.32","121.22","176.50","81.00","1,93,879","2,35,01,771.40","3,263"
"24-Sep-2024","EQ","120.00","123.71","119.00","119.85","122.10","122.14","121.55","176.50","81.00","3,81,429","4,63,61,988.90","5,750"
"23-Sep-2024","EQ","119.99","120.86","119.06","119.22","120.01","119.85","119.88","176.50","81.00","1,29,895","1,55,71,646.39","3,003"
"20-Sep-2024","EQ","120.00","120.00","117.66","117.62","119.70","119.22","118.80","176.50","81.00","1,61,393","1,91,73,280.00","3,074"
"19-Sep-2024","EQ","120.86","121.73","116.20","119.66","118.19","117.62","118.31","176.50","81.00","2,56,309","3,03,23,585.87","6,285"
"18-Sep-2024","EQ","121.00","121.58","119.00","120.35","119.64","119.66","119.90","176.50","81.00","2,28,819","2,74,35,001.03","4,602"
"17-Sep-2024","EQ","122.40","122.50","120.10","121.81","120.16","120.35","120.94","176.50","81.00","1,61,229","1,94,99,067.36","3,431"
"16-Sep-2024","EQ","123.99","123.99","121.00","123.04","122.00","121.81","122.09","176.50","81.00","1,77,801","2,17,07,261.07","4,482"
"13-Sep-2024","EQ","122.50","126.49","121.83","121.71","123.24","123.04","124.06","176.50","81.00","3,51,385","4,35,93,257.69","7,202"
"12-Sep-2024","EQ","121.85","122.70","119.65","121.26","121.80","121.71","121.14","176.50","81.00","2,39,977","2,90,70,552.78","4,719"
"11-Sep-2024","EQ","123.20","124.00","120.81","122.87","121.00","121.26","122.52","176.50","81.00","2,23,486","2,73,80,660.75","4,433"
"10-Sep-2024","EQ","122.00","123.89","122.00","121.38","122.95","122.87","122.99","176.50","81.00","1,59,617","1,96,31,720.03","3,246"
"09-Sep-2024","EQ","123.00","123.23","120.00","122.81","121.70","121.38","121.50","176.50","81.00","2,58,123","3,13,63,132.48","5,434"
"06-Sep-2024","EQ","126.24","126.49","122.20","125.22","123.49","122.81","123.49","176.50","81.00","3,69,010","4,55,68,356.90","6,236"
"05-Sep-2024","EQ","125.00","127.70","124.61","124.27","125.00","125.22","125.69","176.50","81.00","2,48,871","3,12,81,411.14","4,126"
"04-Sep-2024","EQ","123.65","125.28","121.20","124.72","124.30","124.27","124.07","176.50","81.00","2,77,704","3,44,54,495.88","4,851"
"03-Sep-2024","EQ","127.28","127.50","124.25","126.56","125.00","124.72","125.34","176.50","81.00","3,12,702","3,91,95,536.58","4,475"
"02-Sep-2024","EQ","126.60","131.50","126.00","125.82","127.20","126.56","128.45","176.50","81.00","5,59,585","7,18,76,590.26","8,393"
"30-Aug-2024","EQ","125.51","128.48","125.35","126.01","126.04","125.82","126.70","176.50","81.00","2,94,946","3,73,70,649.79","4,850"
"29-Aug-2024","EQ","129.00","129.98","125.00","128.67","126.34","126.01","126.89","176.50","81.00","3,13,281","3,97,51,588.13","5,358"
"28-Aug-2024","EQ","129.15","132.24","128.00","129.95","129.10","128.67","130.37","176.50","81.00","3,41,847","4,45,67,901.12","5,562"
"27-Aug-2024","EQ","131.20","132.50","129.00","130.67","129.85","129.95","130.93","176.50","81.00","4,44,093","5,81,43,920.51","8,091"
"26-Aug-2024","EQ","128.10","133.68","126.20","126.82","130.08","130.67","130.80","176.50","81.00","10,41,971","13,62,86,769.70","20,421"
"23-Aug-2024","EQ","127.49","128.90","126.32","127.15","127.18","126.82","127.50","176.50","81.00","3,41,298","4,35,14,171.03","5,738"
"22-Aug-2024","EQ","123.00","128.50","122.99","122.63","127.30","127.15","126.54","176.50","81.00","7,13,282","9,02,60,370.21","9,931"
"21-Aug-2024","EQ","121.99","124.01","121.99","122.99","123.00","122.63","122.94","176.50","81.00","2,18,541","2,68,67,812.01","4,052"
"20-Aug-2024","EQ","122.00","125.30","121.74","121.58","123.10","122.99","123.38","176.50","81.00","4,23,812","5,22,90,805.94","5,566"
"19-Aug-2024","EQ","122.48","123.69","121.36","121.36","121.88","121.58","122.41","176.50","81.00","2,32,087","2,84,09,936.28","3,850"
"16-Aug-2024","EQ","120.40","122.82","120.10","118.93","121.01","121.36","121.70","176.50","81.00","2,86,427","3,48,58,251.32","5,627"
"14-Aug-2024","EQ","120.01","120.50","116.81","118.82","119.00","118.93","118.63","176.50","81.00","3,89,579","4,62,17,218.40","7,250"
"13-Aug-2024","EQ","121.12","122.72","118.03","121.12","118.93","118.82","120.65","176.50","81.00","2,90,528","3,50,52,272.17","5,411"
"12-Aug-2024","EQ","122.99","123.33","119.17","121.83","121.76","121.12","121.54","176.50","81.00","3,81,022","4,63,08,709.59","6,979"
